Query,KCC Ans
There are small black insects in my peach fruit. How do I control them?,"To control small black insects in your peaches, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
There's a pest attack in my cucumber. How do I control it?,"To control pests in your cucumber, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My cherry tree is infested with insects. How do I control them?,"To control insects in your cherry tree, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My paddy crop is drying up. What should I do?,"For a drying paddy crop, ensure a consistent water backup system with proper irrigation. Check for nutrient deficiencies and apply urea at 20 kg per hectare if needed."
How can I learn about fish farming?,"To learn about fish farming, contact the Fisheries Development Board or GB Pant University in Pantnagar for training and guidance."
There's an insect infestation in my sugarcane. How do I control it?,"To control insects in your sugarcane, spray Spinosad at 0.5 ml per liter of water with 700 liters per hectare. Use sticky traps to monitor pest levels."
My radish is infested with insects. How do I control them?,"To control insects in your radish, spray Azadirachtin (neem-based) at 2 ml per liter of water. Apply early in the morning and use yellow sticky traps."
Where can I get information on mushrooms?,"For mushroom information, contact your nearest Krishi Vigyan Kendra (KVK) or GB Pant University in Pantnagar for training and guidance."
There's a bug in my pumpkin. How do I control it?,"To control bugs in your pumpkin, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My cow hasn't urinated for two days. What should I do?,"For a cow not urinating, take it to your nearest veterinary hospital immediately. Administer Alkasol SIP only under vet guidance."
There are pests eating my corn stalks. How do I control them?,"To control pests eating your corn stalks, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
There are weeds in my Mandua field. How do I control them?,"To control weeds in your Mandua field, apply 2,4-D Sodium Salt at 1 kg per hectare 3 weeks after sowing. Hand-weed small areas for sustainability."
There's a pest eating my corn cobs. How do I control it?,"To control pests eating your corn cobs, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use pheromone traps to monitor pests."
My guava has dry rot. What should I do?,"For guava dry rot, spray Copper Oxychloride at 3 grams per liter of water every 7-10 days. Remove affected parts and ensure good drainage."
When's the best time to sow Malta?,Sow Malta in July to October for the best yield. Use well-drained soil and ensure regular watering during early growth.
There's lice in my goat's body. What should I do?,"For lice on your goat, apply Biotex (anti-parasitic) before bathing, following the product instructions. Consult a veterinarian for proper treatment."
There's a worm in my chili. How do I control it?,"To control worms in your chilies, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
When's the best time to cultivate beans?,Cultivate beans in June to August for the best yield. Use well-drained soil and ensure regular watering during early growth.
There are termites eating leaves in my paddy field. How do I control them?,"To control termites in your paddy field, apply Imidacloprid at 0.5 ml per liter of water as a soil drench. Add neem cake at 250 kg per hectare."
How can I control weeds in my field?,"For weed control in paddy, weed manually 20-25 days after planting and apply Anilophos 30EC at 3 liters per hectare early in the season."
How should I treat Mandua seeds?,Treat Mandua seeds with Thiram at 2 grams per kg of seed before sowing to prevent fungal issues. Ensure well-drained soil.
There was a bug in my chili. How do I control it?,"To control bugs in your chilies, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My mango plant is failing. What should I do?,"For a failing mango plant, apply a balanced fertilizer (10 kg manure, 100 g N, 75 g P, 50 g K per tree). Ensure proper irrigation and check for pests."
My paddy is yellowing. What should I do?,Yellowing paddy could be due to nutrient deficiency. Apply urea at 20 kg per hectare after irrigation. Test your soil for nutrient levels.
My tomato fruits are bursting. What's wrong?,Bursting tomato fruits could be due to nutrient imbalance. Apply Boron at 4-5 grams per liter of water and ensure consistent watering.
My tomatoes are rotting. What should I do?,"For tomato rot, spray Mancozeb at 2 grams per liter of water every 7-10 days. Remove affected fruits and ensure good drainage."
There's a pest in my sugarcane. How do I control it?,"To control pests in your sugarcane, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My Mandua is infested with insects. How do I control them?,"To control insects in your Mandua, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My cabbage is infested with pests. How do I control them?,"To control pests in your cabbage, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
The vine on my gourd is drying up. What should I do?,"For a drying gourd vine, spray Mancozeb at 2 grams per liter of water every 7-10 days. Ensure proper irrigation and remove affected parts."
When's the best time to sow tomatoes?,Sow tomatoes from July to August or December for the best yield. Use well-drained soil and ensure regular watering.
My chili roots are rotting. What should I do?,"For chili root rot, spray Carbendazim at 2 grams per liter of water every 7-10 days. Ensure well-drained soil and remove affected plants."
When's the best time to plant Ghuna in hilly areas?,Sow Ghuna in July to August for the best yield in hilly areas. Use well-drained soil and ensure regular watering.
My tomatoes are drying. What should I do?,"For drying tomatoes, spray Mancozeb at 2 grams per liter of water every 7-10 days to control fungal issues. Ensure proper irrigation."
There's a bug in my gourd. How do I control it?,"To control bugs in your gourd, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps to monitor pests."
My gourd leaves are rotting. What should I do?,"For gourd leaf rot, spray Mancozeb at 2 grams per liter of water every 7-10 days. Remove affected leaves and ensure good drainage."
What are the best potato varieties?,"Top potato varieties include Kufri Badshah, Kufri Lalima, Kufri Dev, and Kufri Kankar. Choose based on your region and market demand."
What are the best tomato varieties?,"Top tomato varieties include Kalyanpur-T-1, Angurlata, and Punjab Chuhara. Choose based on your climate and market demand."
What are the best onion varieties?,"Top onion varieties include NIFED-53, Agrifound Dark Red, and Insurance Red. Choose based on your climate and market demand."
My round lemon blossoms are falling. What should I do?,"To prevent round lemon blossom drop, spray Planofix at 5 ml per liter of water. Ensure proper irrigation and apply a balanced fertilizer."
There are insects in my paddy. How do I control them?,"To control insects in your paddy, spray Azadirachtin (neem-based) at 2 ml per liter of water with 700 liters per hectare. Use sticky traps to monitor pests."
My buffalo is having heat problems. What should I do?,"For buffalo heat issues, consult a veterinarian. They may recommend artificial insemination or hormonal treatments like lichen after the first heat cycle."
When's the best time to plant coriander?,Sow coriander in September to December in hilly areas for the best yield. Use well-drained soil and ensure regular watering.
My gourd is rotting. What should I do?,"For gourd rot, spray Carbendazim at 2 grams per liter of water every 7-10 days. Remove affected fruits and ensure good drainage."
My animal is giving less milk. What should I do?,"For low milk production, provide a balanced diet with 50 grams of Glyco powder daily for 20 days. Consult a veterinarian to check for health issues."
